score,base_rgb,base_t,base_u,target_rgb,target_t,target_u,EN,SD,AG,SF,MI_RGB,MI_Thermal,MI_UV,MI_SUM
7.079231472336086,0.94,0.02,0.04,0.5,0.2,0.3,5.992976282849724,56.66544217005954,3.7566197595478577,13.888041936321024,2.9551176858550643,1.662967777882136,2.279007206130845,6.897092669868045
7.079049976956758,0.9199999999999999,0.06,0.02,0.55,0.2,0.25,6.164362376118883,55.22404895954872,3.713002950321009,13.674208330519406,2.8272415328839458,2.1405783839864316,1.931468929924153,6.899288846794531
7.074738983371062,0.9199999999999999,0.06,0.02,0.5,0.2,0.3,6.170395458186114,55.14908589298934,3.711715555485384,13.611655216158173,2.8189816036437114,2.140189816350506,1.9361578206314918,6.89532924062571
7.042030745377526,0.9199999999999999,0.02,0.06,0.5,0.4,0.1,6.1692990049903775,55.82323616585523,3.7366489510477323,13.620522219457744,2.7904844988506574,1.6583876740121763,2.4129564928859724,6.8618286657488055
7.034340567309066,0.9199999999999999,0.02,0.06,0.55,0.35,0.1,6.1536330396746415,55.65638690400677,3.7306120653211337,13.680353751888982,2.7968584433498793,1.6495694900012334,2.4075925032388743,6.854020436589987
7.030006719180365,0.9199999999999999,0.02,0.06,0.44999999999999996,0.4,0.15,6.172746911460971,55.78255364118471,3.7320608577610535,13.55602690761472,2.782743744605204,1.6513835120395062,2.416137502264749,6.85026475890946
7.025016005323457,0.9199999999999999,0.02,0.06,0.6,0.3,0.1,6.134583801399042,55.57032369748833,3.726757643399415,13.756120540477612,2.8036532514021095,1.6396153816752546,2.4011640402417234,6.844432673319087
7.023118508127677,0.9199999999999999,0.02,0.06,0.5,0.35,0.15,6.158189412988262,55.58858589094495,3.725144804995737,13.605794391514342,2.7888325349133223,1.6431175355260794,2.4113851215808317,6.843335192020233
7.020924079445064,0.9199999999999999,0.02,0.06,0.39999999999999997,0.4,0.2,6.175832648336152,55.767463334238705,3.7303766475783453,13.506228376317907,2.7758725084214655,1.646485850976489,2.419123278738169,6.841481638136123
7.017299931040603,0.9199999999999999,0.02,0.06,0.65,0.25,0.1,6.112739901483795,55.56935579171839,3.7253517552658364,13.84727986064958,2.8126797024472068,1.6279714683628281,2.395651808269346,6.83630297907938
7.01687791255121,0.9199999999999999,0.02,0.06,0.7000000000000001,0.2,0.1,6.089339787577406,55.65650026689482,3.7263737593168096,13.952832913693086,2.827989627232875,1.615888745130689,2.391444162839675,6.83532253520324
7.014635361417169,0.9199999999999999,0.02,0.06,0.45,0.35,0.2,6.162265918872975,55.546829986290426,3.722349723915995,13.545343973018506,2.7817054932575567,1.638737803458333,2.414794853118706,6.835238149834597
7.0138877060365346,0.9199999999999999,0.02,0.06,0.5499999999999999,0.3,0.15,6.140258914158668,55.47487044558341,3.7204889434355275,13.672025077136947,2.79496817289476,1.633476848546207,2.4054678909068166,6.833912912347784
